"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
13,MIAMI-DADE,7751,BARBARA GOLEMAN SENIOR HIGH,"2,973","2,863",96.3%
13,MIAMI-DADE,7777,NEW OPPORTUNITY EDUCATIONAL CENTER,32,19,59.4%
13,MIAMI-DADE,7781,FELIX VARELA SENIOR HIGH SCHOOL,"1,935","1,851",95.7%
13,MIAMI-DADE,7791,BOOKER T. WASHINGTON SENIOR HIGH,944,868,91.9%
13,MIAMI-DADE,7801,GEORGE T. BAKER AVIATION TECHNICAL COLLEGE,*,*,*
13,MIAMI-DADE,7819,BOYSTOWN,44,4,9.1%
13,MIAMI-DADE,7823,HERE'S HELP,*,*,*
13,MIAMI-DADE,7833,CITRUS HEALTH SIPP/CRISIS,16,2,12.5%
13,MIAMI-DADE,7840,TURNER/GUILFORD/KNIGHT,22,15,68.2%
13,MIAMI-DADE,7855,NICKLAUS CHILDREN'S HOSPITAL,*,*,*
13,MIAMI-DADE,7860,SECONDARY STUDENT SUCCESS CENTER 801,35,4,11.4%
13,MIAMI-DADE,7861,SECONDARY STUDENT SUCCESS CENTER 802,16,3,18.8%
13,MIAMI-DADE,7862,SECONDARY STUDENT SUCCESS CENTER 803,50,11,22.0%
13,MIAMI-DADE,7863,SECONDARY STUDENT SUCCESS CENTER-804,24,3,12.5%
13,MIAMI-DADE,7865,HIS HOUSE,63,5,7.9%
13,MIAMI-DADE,7871,ACCELERATION ACADEMIES-CENTRAL MIAMI,375,295,78.7%
13,MIAMI-DADE,7891,ACCELERATION ACADEMIES LLC HOMESTEAD,170,142,83.5%
13,MIAMI-DADE,7901,NEW WORLD SCHOOL OF THE ARTS,451,446,98.9%
13,MIAMI-DADE,8012,PACE CENTER FOR GIRLS,36,29,80.6%
13,MIAMI-DADE,8016,TEENAGE PARENT PROGRAM,51,45,88.2%
13,MIAMI-DADE,8019,DR. MARVIN DUNN ACADEMY FOR COMMUNITY EDUCATION.,77,60,77.9%
13,MIAMI-DADE,8021,TITLE I MIGRANT EDUCATION PROGRAM,29,28,96.6%
13,MIAMI-DADE,8101,JAN MANN EDUCATIONAL CENTER,83,37,44.6%
13,MIAMI-DADE,8121,COPE CENTER NORTH,28,22,78.6%
13,MIAMI-DADE,8131,DOROTHY M. WALLACE COPE CENTER,27,23,85.2%
13,MIAMI-DADE,8141,JUVENILE JUSTICE CENTER ALT ED,70,4,5.7%
13,MIAMI-DADE,8151,ROBERT RENICK EDUCATIONAL CENTER,47,40,85.1%
13,MIAMI-DADE,8181,RUTH OWENS KRUSE EDUCATION CENTER,97,88,90.7%
13,MIAMI-DADE,9013,PREK INTERVENTION,355,277,78.0%
13,MIAMI-DADE,9731,INSTRUCTIONAL CENTER SYSTEM WIDE,80,62,77.5%
13,MIAMI-DADE,9732,BRUCIE BALL EDUCATIONAL CENTER,435,409,94.0%
14,DESOTO,0031,DESOTO COUNTY HIGH SCHOOL,"1,215","1,145",94.2%
14,DESOTO,0061,WEST ELEMENTARY SCHOOL,622,584,93.9%
14,DESOTO,0081,MEMORIAL ELEMENTARY SCHOOL,861,828,96.2%
14,DESOTO,0161,DESOTO MIDDLE SCHOOL,922,875,94.9%
14,DESOTO,0181,NOCATEE ELEMENTARY SCHOOL,475,459,96.6%
14,DESOTO,0291,DESOTO SECONDARY SCHOOL,51,32,62.7%
14,DESOTO,9114,REDUCED SERVICES,*,*,*
15,DIXIE,0021,DIXIE COUNTY HIGH SCHOOL,791,751,94.9%
15,DIXIE,0041,OLD TOWN ELEMENTARY SCHOOL,517,493,95.4%
15,DIXIE,0043,KINDER CUB SCHOOL INC,121,116,95.9%
15,DIXIE,0101,JAMES M. ANDERSON ELEMENTARY SCHOOL,563,537,95.4%
15,DIXIE,7004,DIXIE VIRTUAL FRANCHISE,*,*,*
15,DIXIE,7023,DIXIE VIRTUAL INSTRUCTION PROGRAM,*,*,*
16,DUVAL,0061,MATTIE V RUTHERFORD ALT ED CENTER,67,17,25.4%
16,DUVAL,0121,WEST RIVERSIDE ELEMENTARY SCHOOL,369,359,97.3%
16,DUVAL,0141,GRAND PARK CAREER CENTER,215,104,48.4%
16,DUVAL,0161,ORTEGA ELEMENTARY SCHOOL,342,302,88.3%
16,DUVAL,0171,THE BRIDGE TO SUCCESS ACADEMY MIDDLE SCHOOL,388,357,92.0%
16,DUVAL,0181,CENTRAL RIVERSIDE ELEMENTARY SCHOOL,347,334,96.3%
16,DUVAL,0191,RUTH N. UPSON ELEMENTARY SCHOOL,317,301,95.0%
16,DUVAL,0201,FISHWEIR ELEMENTARY SCHOOL,442,431,97.5%
16,DUVAL,0211,ANNIE R. MORGAN ELEMENTARY SCHOOL,192,167,87.0%
16,DUVAL,0251,SPRINGFIELD MIDDLE SCHOOL,850,832,97.9%
16,DUVAL,0261,ESE PRE KINDERGARTEN DISABILITIES CENTER,159,137,86.2%
16,DUVAL,0271,GRASP ACADEMY,284,274,96.5%
16,DUVAL,0281,OAK HILL ACADEMY,280,270,96.4%
16,DUVAL,0291,THE BRIDGE TO SUCCESS ACADEMY AT W JACKSONVILLE,220,200,90.9%
16,DUVAL,0301,LORETTO ELEMENTARY SCHOOL,"1,039","1,011",97.3%
16,DUVAL,0311,JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,895,886,99.0%
16,DUVAL,0321,MARINE SCIENCE EDUCATION CENTER,25,24,96.0%
16,DUVAL,0331,RIVERSIDE HIGH SCHOOL,"1,638","1,535",93.7%
16,DUVAL,0351,ANDREW JACKSON HIGH SCHOOL,839,814,97.0%
16,DUVAL,0381,BALDWIN MIDDLE-SENIOR HIGH SCHOOL,"1,462","1,358",92.9%
16,DUVAL,0391,GATEWAY COMMUNITY SERVICES,*,*,*
16,DUVAL,0451,DINSMORE ELEMENTARY SCHOOL,562,528,94.0%
16,DUVAL,0461,ARLINGTON ELEMENTARY SCHOOL,179,169,94.4%
16,DUVAL,0471,LONE STAR HIGH SCHOOL,243,207,85.2%
16,DUVAL,0481,THOMAS JEFFERSON ELEMENTARY,468,447,95.5%
16,DUVAL,0491,DUVAL REGIONAL JUVENILE DETENTION CENTER,97,18,18.6%
16,DUVAL,0511,WHITEHOUSE ELEMENTARY SCHOOL,380,362,95.3%
16,DUVAL,0531,DUVAL MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,213,202,94.8%
16,DUVAL,0581,R L BROWN GIFTED AND TALENTED ACADEMY,222,208,93.7%
16,DUVAL,0591,GARDEN CITY ELEMENTARY SCHOOL,390,351,90.0%
16,DUVAL,0621,OCEANWAY SCHOOL,828,766,92.5%
16,DUVAL,0631,DUNCAN U. FLETCHER MIDDLE SCHOOL,"1,190","1,147",96.4%
16,DUVAL,0641,HOGAN-SPRING GLEN ELEMENTARY SCHOOL,435,404,92.9%
16,DUVAL,0651,ATLANTIC BEACH ELEMENTARY SCHOOL,482,470,97.5%
16,DUVAL,0661,ALFRED I. DUPONT MIDDLE SCHOOL,579,524,90.5%
16,DUVAL,0681,VENETIA ELEMENTARY SCHOOL,372,339,91.1%
16,DUVAL,0691,LAKE SHORE MIDDLE SCHOOL,748,663,88.6%
16,DUVAL,0701,NORTH SHORE ELEMENTARY,614,565,92.0%
16,DUVAL,0711,HENDRICKS AVENUE ELEMENTARY SCHOOL,633,605,95.6%
16,DUVAL,0721,SPRING PARK ELEMENTARY SCHOOL,489,465,95.1%
16,DUVAL,0734,JOHN LOVE EARLY LEARNING CENTER,122,113,92.6%
16,DUVAL,0751,PAXON SCHOOL/ADVANCED STUDIES,"1,278","1,259",98.5%
16,DUVAL,0761,SOUTHSIDE ESTATES ELEMENTARY SCHOOL,519,481,92.7%
16,DUVAL,0771,HYDE PARK ELEMENTARY SCHOOL,272,250,91.9%
16,DUVAL,0781,BILTMORE ELEMENTARY SCHOOL,206,188,91.3%
16,DUVAL,0791,RAMONA BOULEVARD ELEMENTARY SCHOOL,292,262,89.7%
16,DUVAL,0801,SAN PABLO ELEMENTARY SCHOOL,481,472,98.1%
16,DUVAL,0811,PACE CENTER FOR GIRLS-JAX,73,54,74.0%
16,DUVAL,0821,LOVE GROVE ELEMENTARY SCHOOL,380,349,91.8%
16,DUVAL,0831,SAN JOSE ELEMENTARY SCHOOL,937,894,95.4%
16,DUVAL,0841,BAYVIEW ELEMENTARY SCHOOL,367,346,94.3%
16,DUVAL,0851,LAKE LUCINA ELEMENTARY SCHOOL,331,303,91.5%
16,DUVAL,0861,TERRY PARKER HIGH SCHOOL,"1,539","1,388",90.2%
16,DUVAL,0871,ENGLEWOOD ELEMENTARY SCHOOL,418,401,95.9%
16,DUVAL,0881,JOHN STOCKTON ELEMENTARY SCHOOL,464,453,97.6%
16,DUVAL,0891,WOODLAND ACRES ELEMENTARY SCHOOL,495,462,93.3%
16,DUVAL,0901,ENGLEWOOD HIGH SCHOOL,"1,896","1,766",93.1%
16,DUVAL,0911,SALLYE B. MATHIS ELEMENTARY SCHOOL,366,340,92.9%
16,DUVAL,0931,PINEDALE ELEMENTARY SCHOOL,482,462,95.9%
16,DUVAL,0941,WINDY HILL ELEMENTARY SCHOOL,416,397,95.4%
16,DUVAL,0951,RUTLEDGE H. PEARSON ELEMENTARY SCHOOL,758,704,92.9%
16,DUVAL,0961,JEAN RIBAULT HIGH SCHOOL,"1,224","1,133",92.6%
16,DUVAL,0971,CEDAR HILLS ELEMENTARY SCHOOL,398,366,92.0%
16,DUVAL,0981,TIMUCUAN ELEMENTARY SCHOOL,512,467,91.2%
16,DUVAL,0991,HIGHLANDS ESTATES ACADEMY,692,633,91.5%
16,DUVAL,1021,SCHOOL OF SUCCESS ACADEMY-SOS,145,127,87.6%
16,DUVAL,1061,LONG BRANCH ELEMENTARY SCHOOL,303,271,89.4%
16,DUVAL,1073,DOUGLAS ANDERSON SCHOOL OF THE ARTS,"1,035","1,016",98.2%
16,DUVAL,1131,WAYMAN ACADEMY OF THE ARTS,153,138,90.2%
16,DUVAL,1161,SADIE T. TILLIS ELEMENTARY SCHOOL,538,489,90.9%
16,DUVAL,1201,RIVER CITY SCIENCE ACADEMY,991,970,97.9%
16,DUVAL,1211,TIGER ACADEMY,198,187,94.4%
16,DUVAL,1221,GLOBAL LEADERSHIP ACADEMY DISCOVERY,"1,068","1,030",96.4%
16,DUVAL,1231,DUVAL CHARTER SCHOLARS ACADEMY,501,466,93.0%
16,DUVAL,1241,NORTHWESTERN LEGENDS ELEMENTARY,433,366,84.5%
16,DUVAL,1251,"SOMERSET ACADEMY-ELEMENTARY, EAGLE CAMPUS",324,315,97.2%
16,DUVAL,1261,"SOMERSET ACADEMY-MIDDLE, EAGLE CAMPUS",177,172,97.2%
16,DUVAL,1271,KIPP V.O.I.C.E ACADEMY,898,818,91.1%
16,DUVAL,1281,SUSIE E. TOLBERT ELEMENTARY SCHOOL,245,210,85.7%
16,DUVAL,1291,RIVER CITY SCIENCE ELEMENTARY ACADEMY,579,555,95.9%
16,DUVAL,1311,DUVAL CHARTER HIGH SCHOOL AT BAYMEADOWS,749,713,95.2%
16,DUVAL,1321,DUVAL CHARTER AT BAYMEADOWS,"1,399","1,315",94.0%
16,DUVAL,1371,SEACOAST CHARTER ACADEMY,444,424,95.5%
16,DUVAL,1401,CHAFFEE TRAIL MIDDLE SCHOOL,"1,190","1,078",90.6%
16,DUVAL,1411,J. ALLEN AXSON ELEMENTARY SCHOOL,493,483,98.0%
16,DUVAL,1421,CHAFFEE TRAIL ELEMENTARY,884,841,95.1%
16,DUVAL,1441,JACKSONVILLE BEACH ELEMENTARY SCHOOL,611,607,99.3%
16,DUVAL,1451,DARNELL COOKMAN MIDDLE/HIGH SCHOOL,"1,068","1,041",97.5%
16,DUVAL,1461,MATTHEW W. GILBERT MIDDLE SCHOOL,555,485,87.4%
16,DUVAL,1491,SMART POPE LIVINGSTON ELEMENTARY,405,358,88.4%
16,DUVAL,1501,NEW BERLIN ELEMENTARY SCHOOL,"1,118","1,060",94.8%
16,DUVAL,1521,JAMES WELDON JOHNSON COLLEGE PREPARATORY MIDDLE SCHOOL,980,963,98.3%
16,DUVAL,1531,STANTON COLLEGE PREPARATORY,"1,270","1,248",98.3%
16,DUVAL,1542,JOHN E. FORD K-8 SCHOOL,631,607,96.2%
16,DUVAL,1561,YOUNG MENS/WOMENS LEADERSHIP ACADEMY AT EUGENE J BUTLER,281,267,95.0%
16,DUVAL,1581,GEORGE WASHINGTON CARVER ELEMENTARY,297,270,90.9%
16,DUVAL,1591,PINE FOREST ELEMENTARY SCHOOL,431,418,97.0%
16,DUVAL,1601,WATERLEAF ELEMENTARY,613,595,97.1%
16,DUVAL,1611,BARTRAM SPRINGS ELEMENTARY,"1,013",969,95.7%
16,DUVAL,1621,R. V. DANIELS ELEMENTARY SCHOOL,121,113,93.4%
16,DUVAL,1631,RUFUS E. PAYNE ELEMENTARY SCHOOL,233,212,91.0%
16,DUVAL,1641,MT. HERMAN ESE CENTER,132,130,98.5%
16,DUVAL,1651,WILLIAM M. RAINES HIGH SCHOOL,"1,376","1,248",90.7%
16,DUVAL,1691,S. A. HULL ELEMENTARY SCHOOL,188,167,88.8%
16,DUVAL,1701,PALM AVENUE EXCEP. STUDENT CENTER,210,193,91.9%
16,DUVAL,1761,PRETRIAL DETENTION FACILITY,31,21,67.7%
16,DUVAL,1811,HOSPITAL AND HOMEBOUND,94,60,63.8%
16,DUVAL,1821,YOUTH DEVELOPMENT CENTER,20,1,5.0%
16,DUVAL,2021,REYNOLDS LANE ELEMENTARY SCHOOL,158,145,91.8%
16,DUVAL,2031,KINGS TRAIL ELEMENTARY SCHOOL,326,280,85.9%
16,DUVAL,2051,PICKETT ELEMENTARY SCHOOL,156,141,90.4%
16,DUVAL,2061,BROOKVIEW ELEMENTARY SCHOOL,465,439,94.4%
16,DUVAL,2072,WESTSIDE MIDDLE SCHOOL,893,814,91.2%
16,DUVAL,2081,PARKWOOD HEIGHTS ELEMENTARY SCHOOL,322,304,94.4%
16,DUVAL,2091,HOLIDAY HILL ELEMENTARY SCHOOL,460,438,95.2%
16,DUVAL,2111,SOUTHSIDE MIDDLE SCHOOL,805,744,92.4%
16,DUVAL,2121,JEAN RIBAULT MIDDLE SCHOOL,530,477,90.0%
16,DUVAL,2131,ARLINGTON MIDDLE SCHOOL,684,612,89.5%
16,DUVAL,2141,HYDE GROVE ELEMENTARY SCHOOL,374,335,89.6%
16,DUVAL,2171,DON BREWER ELEMENTARY SCHOOL,286,270,94.4%
16,DUVAL,2181,SAN MATEO ELEMENTARY SCHOOL,520,497,95.6%
16,DUVAL,2191,JOSEPH STILWELL MIDDLE SCHOOL,489,457,93.5%
16,DUVAL,2211,NORMANDY VILLAGE ELEMENTARY SCHOOL,503,453,90.1%
16,DUVAL,2221,GREENFIELD ELEMENTARY SCHOOL,570,527,92.5%
16,DUVAL,2231,DUNCAN U. FLETCHER HIGH SCHOOL,"2,184","2,065",94.6%
16,DUVAL,2241,SAMUEL W. WOLFSON HIGH SCHOOL,"1,007",979,97.2%
16,DUVAL,2251,SEABREEZE ELEMENTARY SCHOOL,524,497,94.8%
16,DUVAL,2261,CRYSTAL SPRINGS ELEMENTARY SCHOOL,883,821,93.0%
16,DUVAL,2271,MAYPORT ELEMENTARY SCHOOL,429,397,92.5%
16,DUVAL,2281,MERRILL ROAD ELEMENTARY SCHOOL,363,325,89.5%
16,DUVAL,2291,JACKSONVILLE HEIGHTS ELEMENTARY SCHOOL,481,430,89.4%
16,DUVAL,2301,BEAUCLERC ELEMENTARY SCHOOL,694,616,88.8%
16,DUVAL,2311,KERNAN TRAIL ELEMENTARY SCHOOL,676,644,95.3%
16,DUVAL,2321,CHIMNEY LAKES ELEMENTARY SCHOOL,871,833,95.6%
16,DUVAL,2331,LONE STAR ELEMENTARY SCHOOL,318,294,92.5%
16,DUVAL,2341,HIDDEN OAKS ELEMENTARY SCHOOL,191,176,92.1%
16,DUVAL,2351,FORT CAROLINE ELEMENTARY SCHOOL,465,391,84.1%
16,DUVAL,2361,MAMIE AGNES JONES ELEMENTARY SCHOOL,399,376,94.2%
16,DUVAL,2371,SANDALWOOD HIGH SCHOOL,"2,627","2,464",93.8%
16,DUVAL,2381,FORT CAROLINE MIDDLE SCHOOL,401,392,97.8%
16,DUVAL,2391,SABAL PALM ELEMENTARY SCHOOL,630,602,95.6%
16,DUVAL,2401,ARLINGTON HEIGHTS ELEMENTARY SCHOOL,314,302,96.2%
16,DUVAL,2411,WESTSIDE HIGH SCHOOL,"1,533","1,403",91.5%
16,DUVAL,2421,LOUIS S. SHEFFIELD ELEMENTARY SCHOOL,656,622,94.8%
16,DUVAL,2431,GREGORY DRIVE ELEMENTARY SCHOOL,521,485,93.1%
16,DUVAL,2441,HIGHLANDS MIDDLE SCHOOL,685,608,88.8%
16,DUVAL,2451,CROWN POINT ELEMENTARY SCHOOL,785,727,92.6%
16,DUVAL,2461,NEPTUNE BEACH ELEMENTARY SCHOOL,803,785,97.8%
16,DUVAL,2471,ANCHOR ACADEMY,289,260,90.0%
16,DUVAL,2481,EDWARD H. WHITE HIGH SCHOOL,"1,663","1,543",92.8%
16,DUVAL,2491,GREENLAND PINES ELEMENTARY SCHOOL,701,674,96.1%
16,DUVAL,2511,TWIN LAKES ACADEMY ELEMENTARY SCHOOL,809,747,92.3%
16,DUVAL,2521,ALDEN ROAD EXCEP. STUDENT CENTER,177,170,96.0%
16,DUVAL,2531,TWIN LAKES ACADEMY MIDDLE SCHOOL,914,825,90.3%
16,DUVAL,2541,MAYPORT COASTAL SCIENCE MIDDLE SCHOOL,821,787,95.9%
16,DUVAL,2551,ENTERPRISE LEARNING ACADEMY,787,747,94.9%
16,DUVAL,2561,LANDMARK MIDDLE SCHOOL,876,812,92.7%
16,DUVAL,2571,ALIMACANI ELEMENTARY SCHOOL,802,779,97.1%
16,DUVAL,2581,MANDARIN OAKS ELEMENTARY SCHOOL,"1,061","1,021",96.2%
16,DUVAL,2591,MANDARIN MIDDLE SCHOOL,"1,118","1,067",95.4%
16,DUVAL,2601,MANDARIN HIGH SCHOOL,"2,343","2,241",95.6%
16,DUVAL,2621,ANDREW A. ROBINSON ELEMENTARY SCHOOL,459,429,93.5%
16,DUVAL,2631,ABESS PARK ELEMENTARY SCHOOL,509,477,93.7%
16,DUVAL,2641,CHET'S CREEK ELEMENTARY SCHOOL,"1,079","1,017",94.3%
16,DUVAL,2651,FIRST COAST HIGH SCHOOL,"2,098","1,972",94.0%
16,DUVAL,2671,LAVILLA SCHOOL OF THE ARTS,972,961,98.9%
16,DUVAL,2681,ATLANTIC COAST HIGH SCHOOL,"2,887","2,704",93.7%
16,DUVAL,2691,BISCAYNE ELEMENTARY SCHOOL,818,771,94.3%
16,DUVAL,2701,OCEANWAY ELEMENTARY SCHOOL,728,690,94.8%
16,DUVAL,2741,WESTVIEW K-8,"1,221","1,136",93.0%
16,DUVAL,2791,KERNAN MIDDLE SCHOOL,"1,086","1,048",96.5%
16,DUVAL,2801,FRANK H. PETERSON ACADEMIES,"1,167","1,117",95.7%
16,DUVAL,2851,A. PHILIP RANDOLPH ACADEMIES,349,304,87.1%
16,DUVAL,5371,FLORIDA CYBER CHARTER ACADEMY,"1,677","1,513",90.2%
16,DUVAL,5381,SAN JOSE PREP,594,539,90.7%
16,DUVAL,5401,SEASIDE COMMUNITY CHARTER SCHOOL,511,475,93.0%
16,DUVAL,5411,DUVAL CHARTER SCHOOL AT WESTSIDE,938,896,95.5%
16,DUVAL,5421,BISCAYNE HIGH SCHOOL,217,159,73.3%
16,DUVAL,5441,RIVER CITY SCIENCE ACADEMY INNOVATION SCHOOL,813,775,95.3%
16,DUVAL,5511,DUVAL CHARTER SCHOOL AT MANDARIN,856,818,95.6%
16,DUVAL,5551,DUVAL CHARTER SCHOOL AT SOUTHSIDE,"1,064",969,91.1%
16,DUVAL,5591,DUVAL CHARTER SCHOOL AT FLAGLER CENTER,867,843,97.2%
16,DUVAL,5601,RIVER CITY SCIENCE ACADEMY AT MANDARIN,870,853,98.0%
16,DUVAL,5611,BRIDGEPREP ACADEMY,463,421,90.9%
16,DUVAL,5621,DUVAL CHARTER SCHOOL AT COASTAL,"1,082","1,046",96.7%
16,DUVAL,5631,SEASIDE CHARTER K-8 SCHOOL,484,453,93.6%
16,DUVAL,5641,RIVER CITY SCIENCE ACADEMY SOUTHEAST,726,702,96.7%
16,DUVAL,5711,SEASIDE CHARTER NORTH CAMPUS,496,457,92.1%
16,DUVAL,5731,GLOBAL LEADERSHIP ACADEMY HIGH SCHOOL,626,593,94.7%
16,DUVAL,5761,SAN JOSE PRIMARY SCHOOL,244,227,93.0%
16,DUVAL,5801,CORNERSTONE CLASSICAL ACADEMY,949,928,97.8%
16,DUVAL,5831,JACKSONVILLE CLASSICAL ACADEMY,734,703,95.8%
16,DUVAL,5841,RIVER CITY SCIENCE ACADEMY INTRACOASTAL,814,777,95.5%
16,DUVAL,5861,SAN JOSE EARLY COLLEGE AT CECIL,208,197,94.7%
16,DUVAL,5871,BECOMING COLLEGIATE ACADEMY,205,196,95.6%
16,DUVAL,5901,KIPP JACKSONVILLE K-12,"1,452","1,325",91.3%
16,DUVAL,5961,JACKSONVILLE CLASSICAL ACADEMY EAST,215,201,93.5%
16,DUVAL,5971,GLOBAL LEADERSHIP ACADEMY INTERCOASTAL,433,417,96.3%
16,DUVAL,5981,KIPP IMPACT ACADEMY,806,763,94.7%
16,DUVAL,5991,GLOBAL LEADERSHIP ACADEMY ARTS,411,389,94.6%
16,DUVAL,7023,DUVAL VIRTUAL INSTRUCTION ACADEMY,738,667,90.4%
17,ESCAMBIA,0021,HELLEN CARO ELEMENTARY SCHOOL,517,491,95.0%
17,ESCAMBIA,0031,JIM ALLEN ELEMENTARY SCHOOL,648,611,94.3%
17,ESCAMBIA,0051,BELLVIEW ELEMENTARY SCHOOL,513,467,91.0%
17,ESCAMBIA,0061,BELLVIEW MIDDLE SCHOOL,719,644,89.6%
17,ESCAMBIA,0101,BRATT ELEMENTARY SCHOOL,472,462,97.9%
17,ESCAMBIA,0111,BRENTWOOD ELEMENTARY SCHOOL,390,361,92.6%
17,ESCAMBIA,0191,N. B. COOK ELEMENTARY SCHOOL,530,525,99.1%
17,ESCAMBIA,0211,ACHIEVE ACADEMY AT MCMILLIAN,260,166,63.8%
17,ESCAMBIA,0221,RANSOM MIDDLE SCHOOL,"1,180","1,127",95.5%
17,ESCAMBIA,0231,CORDOVA PARK ELEMENTARY SCHOOL,596,581,97.5%
17,ESCAMBIA,0271,ENSLEY ELEMENTARY SCHOOL,476,437,91.8%
17,ESCAMBIA,0281,ESCAMBIA HIGH SCHOOL,"1,634","1,516",92.8%
17,ESCAMBIA,0291,FERRY PASS ELEMENTARY SCHOOL,579,538,92.9%
17,ESCAMBIA,0301,FERRY PASS MIDDLE SCHOOL,897,832,92.8%
17,ESCAMBIA,0361,MONTCLAIR ELEMENTARY SCHOOL,363,329,90.6%
17,ESCAMBIA,0371,MYRTLE GROVE ELEMENTARY SCHOOL,435,383,88.0%
17,ESCAMBIA,0381,NAVY POINT ELEMENTARY SCHOOL,484,431,89.0%
17,ESCAMBIA,0391,OAKCREST ELEMENTARY SCHOOL,527,479,90.9%
17,ESCAMBIA,0401,ESCAMBIA COUNTY ACCELERATION ACADEMY,205,135,65.9%
17,ESCAMBIA,0411,PENSACOLA HIGH SCHOOL,"1,221","1,124",92.1%
17,ESCAMBIA,0441,PINE MEADOW ELEMENTARY SCHOOL,743,719,96.8%
17,ESCAMBIA,0451,PLEASANT GROVE ELEMENTARY SCHOOL,678,631,93.1%
17,ESCAMBIA,0461,SCENIC HEIGHTS ELEMENTARY SCHOOL,773,740,95.7%
17,ESCAMBIA,0471,O. J. SEMMES ELEMENTARY SCHOOL,344,314,91.3%
17,ESCAMBIA,0491,SHERWOOD ELEMENTARY SCHOOL,452,426,94.2%
17,ESCAMBIA,0501,A. K. SUTER ELEMENTARY SCHOOL,500,474,94.8%
17,ESCAMBIA,0521,J. M. TATE SENIOR HIGH SCHOOL,"2,169","2,052",94.6%
17,ESCAMBIA,0541,ERNEST WARD MIDDLE SCHOOL,434,410,94.5%
17,ESCAMBIA,0551,WARRINGTON ELEMENTARY SCHOOL,253,220,87.0%
17,ESCAMBIA,0561,WARRINGTON PREPARATORY ACADEMY,559,508,90.9%
17,ESCAMBIA,0572,C. A. WEIS ELEMENTARY SCHOOL,538,470,87.4%
17,ESCAMBIA,0581,WEST PENSACOLA ELEMENTARY SCHOOL,485,440,90.7%
17,ESCAMBIA,0601,J. H. WORKMAN MIDDLE SCHOOL,602,563,93.5%
17,ESCAMBIA,0602,REINHARDT HOLM ELEMENTARY SCHOOL,480,443,92.3%
17,ESCAMBIA,0671,BROWN BARGE MIDDLE SCHOOL,542,539,99.4%
17,ESCAMBIA,0771,LINCOLN PARK ELEMENTARY SCHOOL,211,188,89.1%
17,ESCAMBIA,0862,PINE FOREST HIGH SCHOOL,"1,604","1,487",92.7%
17,ESCAMBIA,0863,LONGLEAF ELEMENTARY SCHOOL,545,512,93.9%
17,ESCAMBIA,0866,SUCCESS ACADEMY,236,183,77.5%
17,ESCAMBIA,0916,ESCAMBIA JUVENILE DETENTION,67,9,13.4%
17,ESCAMBIA,0921,L. D. MCARTHUR ELEMENTARY SCHOOL,599,565,94.3%
17,ESCAMBIA,0922,ESCAMBIA WESTGATE CENTER,127,120,94.5%
17,ESCAMBIA,0924,HOPE HORIZON AT JUDY ANDREWS CENTER,30,26,86.7%
17,ESCAMBIA,0933,HOSPITAL & HOMEBOUND,21,11,52.4%
17,ESCAMBIA,0941,BEULAH ELEMENTARY SCHOOL,889,863,97.1%
17,ESCAMBIA,0951,WASHINGTON SENIOR HIGH SCHOOL,"1,676","1,587",94.7%
17,ESCAMBIA,0962,COUNTY ADMINISTRATIVE ANNEX,78,68,87.2%
17,ESCAMBIA,1201,R. C. LIPSCOMB ELEMENTARY SCHOOL,692,673,97.3%
17,ESCAMBIA,1221,JIM C. BAILEY MIDDLE SCHOOL,948,867,91.5%
17,ESCAMBIA,1231,NORTHVIEW HIGH SCHOOL,527,498,94.5%
17,ESCAMBIA,1241,BLUE ANGELS ELEMENTARY SCHOOL,663,632,95.3%
17,ESCAMBIA,1251,WEST FLORIDA HIGH SCHOOL/TECHNICAL,"1,322","1,298",98.2%
17,ESCAMBIA,1261,MOLINO PARK ELEMENTARY,550,529,96.2%
17,ESCAMBIA,1281,GLOBAL LEARNING ACADEMY,489,448,91.6%
17,ESCAMBIA,1291,BEULAH MIDDLE SCHOOL,"1,070","1,012",94.6%
17,ESCAMBIA,1311,KINGSFIELD ELEMENTARY SCHOOL,983,951,96.7%
17,ESCAMBIA,2034,PACE PROGRAM,57,37,64.9%
17,ESCAMBIA,2067,ESCAMBIA SCH. DIST. JAIL PROG.,*,*,*
17,ESCAMBIA,2093,BEULAH ACADEMY OF SCIENCE,318,314,98.7%
17,ESCAMBIA,2102,PENSACOLA STATE CHARTER ACADEMY,112,108,96.4%
17,ESCAMBIA,2104,JACKIE HARRIS PREPARATORY ACADEMY,257,237,92.2%
17,ESCAMBIA,2106,"BYRNEVILLE ELEMENTARY SCHOOL, INC.",193,186,96.4%
17,ESCAMBIA,2108,"PENSACOLA BEACH ELEMENTARY SCHOOL, INC",115,114,99.1%
17,ESCAMBIA,2121,CAPSTONE ACADEMY,26,25,96.2%
