"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
10,CLAY,0331,S BRYAN JENNINGS ELEMENTARY SCHOOL,492,463,94.1%
10,CLAY,0341,CLAY HIGH SCHOOL,"1,776","1,704",95.9%
10,CLAY,0351,LAKESIDE JUNIOR HIGH SCHOOL,865,835,96.5%
10,CLAY,0352,LAKESIDE ELEMENTARY SCHOOL,726,695,95.7%
10,CLAY,0361,ORANGE PARK JUNIOR HIGH SCHOOL,832,777,93.4%
10,CLAY,0371,WILKINSON JUNIOR HIGH SCHOOL,711,678,95.4%
10,CLAY,0381,MONTCLAIR ELEMENTARY SCHOOL,402,378,94.0%
10,CLAY,0391,MIDDLEBURG HIGH SCHOOL,"1,866","1,791",96.0%
10,CLAY,0401,RIDGEVIEW ELEMENTARY SCHOOL,592,553,93.4%
10,CLAY,0411,CLAY HILL ELEMENTARY SCHOOL,426,413,96.9%
10,CLAY,0431,RIDGEVIEW HIGH SCHOOL,"1,792","1,711",95.5%
10,CLAY,0451,LAKE ASBURY ELEMENTARY SCHOOL,935,895,95.7%
10,CLAY,0471,ROBERT M. PATERSON ELEMENTARY,665,652,98.0%
10,CLAY,0481,LAKE ASBURY JUNIOR HIGH SCHOOL,940,912,97.0%
10,CLAY,0491,J.L. WILKINSON ELEMENTARY SCHOOL,690,665,96.4%
10,CLAY,0501,TYNES ELEMENTARY SCHOOL,"1,047","1,006",96.1%
10,CLAY,0511,MCRAE ELEMENTARY SCHOOL,544,522,96.0%
10,CLAY,0521,FLEMING ISLAND ELEMENTARY SCHOOL,629,609,96.8%
10,CLAY,0531,THUNDERBOLT ELEMENTARY SCHOOL,756,725,95.9%
10,CLAY,0541,RIDEOUT ELEMENTARY SCHOOL,768,747,97.3%
